"Central Fire Station", "c_fstn@hkfsd.gov.hk", "Mr. CHOI Ka Wing", 2522 0367
"Tung Chung Fire Station", "tc_fstn@hkfsd.gov.hk", "Mr. SUEN Siu Man", 2988 1898
"Hong Kong-Zhuhai-Macao Bridge Fire Station", "hzmb_fstn@hkfsd.gov.hk", "Mr. LO Wai Lok", 2516 0200
"Ma On Shan Fire Station", "mos_fstn@hkfsd.gov.hk", "Mr. WONG Tan", 2640 3222
"Sha Tin Fire Station", "st_fstn@hkfsd.gov.hk", "Mr. CHOW Cheuk Fung", 2691 0596
"Siu Lek Yuen Fire Station", "sly_fstn@hkfsd.gov.hk", "Mr. CHU Siu Yung, Willy", 2647 7515
"Tai Po East Fire Station", "tpe_fstn@hkfsd.gov.hk", "Mr. LAU Ka Wai", 2664 2511
"Tai Po Fire Station", "tp_fstn@hkfsd.gov.hk", "Mr. CHUI Kwong Yiu", 2651 2951
"Tai Sum Fire Station", "", "", 
"Fanling Fire Station", "fl_fstn@hkfsd.gov.hk", "Mr. FUNG Chi Keung", 2669 5511
"Mai Po Fire Station", "ph_fstn@hkfsd.gov.hk", "Mr. LI Wai Lok", 2488 7282
"Pat Heung Fire Station", "ph_fstn@hkfsd.gov.hk", "Mr. LI Wai Lok", 2488 7282
"Sha Tau Kok Fire Station", "", "", 
"Sheung Shui Fire Station", "ss_fstn@hkfsd.gov.hk", "Mr. LEUNG Ka Sing", 2674 0679
"Heung Yuen Wai Fire Station", "hyw_fstn@hkfsd.gov.hk", "Mr. TSE Tak Wah", 2986 3067
"Yuen Long Fire Station", "yl_fstn@hkfsd.gov.hk", "Mr. CHAN King Keung", 2474 6732
"Castle Peak Bay Fire Station", "cpb_fstn@hkfsd.gov.hk", "Mr. WONG Ho Man", 2451 5101
"Fu Tei Fire Station", "ft_fstn@hkfsd.gov.hk", "Mr. TANG Kwok Wah", 2469 4710
"Lau Fau Shan Fire Station", "lfs_fstn@hkfsd.gov.hk", "Mr. TAM Ho Ka", 2146 2672
"Pillar Point Fire Station", "pp_fstn@hkfsd.gov.hk", "Mr. CHEUNG Wai Lun", 2404 0766
"Shenzhen Bay Fire Station", "szb_fstn@hkfsd.gov.hk", "Mr. TANG Kwok Wah", 3543 3636
"Tai Lam Chung Fire Station", "cpb_fstn@hkfsd.gov.hk", "Mr. WONG Ho Man", 2451 5101
"Tin Shui Wai Fire Station", "tsw_fstn@hkfsd.gov.hk", "Mr. KONG Cheung Po", 2448 0664
"Tuen Mun Fire Station", "tm_fstn@hkfsd.gov.hk", "Mr. HUI Kwong Ho", 2462 5717
"Braemar Hill Ambulance Depot", "bh_ambdep@hkfsd.gov.hk", "Mr. CHUONG Kok Fai", 2571 5293
"Chai Wan Ambulance Station", "cw_ambdep@hkfsd.gov.hk", "Mr. CHAN Howin", 2556 6490
"Morrison Hill Ambulance Depot", "mh_ambdep@hkfsd.gov.hk", "Mr. LEUNG Hoi Kei", 2893 5592
"Sai Wan Ho Ambulance Depot", "swh_ambdep@hkfsd.gov.hk", "Mr. LO Cho Kwun", 2569 7627
"Aberdeen Ambulance Depot", "abd_ambdep@hkfsd.gov.hk", "Mr. YUEN Yiu Leung", 2541 6644
"Mount Davis Ambulance Depot", "md_ambdep@hkfsd.gov.hk", "Mr. SHUM Ka Yam", 2819 7967
"Pok Fu Lam Ambulance Depot", "pfl_ambdep@hkfsd.gov.hk", "Mr. LAU Siu Fai", 2551 6000
"Lam Tin Ambulance Depot", "lt_ambdep@hkfsd.gov.hk", "Mr. WONG Po Lung", 2952 3861
"Ngau Tau Kok Ambulance Depot", "ntk_ambdep@hkfsd.gov.hk", "Mr. YUEN Chung Ho", 2750 1710
"Po Lam Ambulance Depot", "pl_ambdep@hkfsd.gov.hk", "Mr. LEUNG Wai Ho", 2701 0955
"Tai Chik Sha Ambulance Depot", "tcs_ambdep@hkfsd.gov.hk", "Mr. LEUNG Wai Ho", 2623 9232
"Wong Tai Sin Ambulance Depot", "wts_ambdep@hkfsd.gov.hk", "Mr. CHAN Wai Chun", 2323 9949
"Ho Man Tin Ambulance Depot", "hmt_ambdep@hkfsd.gov.hk", "Mr. CHAN Cheong Fai", 2624 6110
"Kowloon Tong Ambulance Depot", "klt_ambdep@hkfsd.gov.hk", "Mr. CHAN Ka Ki", 3793 6499
"Ma Tau Chung Ambulance Depot", "mtc_ambdep@hkfsd.gov.hk", "Mr. LEUNG Wing Shun", 2714 3746
"Pak Tin Ambulance Depot", "pt_ambdep@hkfsd.gov.hk", "Mr. CHEUNG Yung", 2776 7803
"Cheung Sha Wan Ambulance Depot", "csw_ambdep@hkfsd.gov.hk", "Mr. KWOK King Hin", 2708 1573
"Lai Chi Kok Ambulance Depot", "lck_ambdep@hkfsd.gov.hk", "Mr. CHUNG Tim Kwai", 2959 1857
"Mongkok Ambulance Depot", "mk_ambdep@hkfsd.gov.hk", "Mr. SIU Ming Chun", 2117 6570
"Tsim Tung Ambulance Depot", "tt_ambdep@hkfsd.gov.hk", "Mr. WONG Chun Kin", 2311 5111
"Yau Ma Tei Ambulance Depot", "ymt_ambdep@hkfsd.gov.hk", "Mr. WONG Ka Chun", 2770 2547
"Ta Kwu Ling Ambulance Depot", "tkl_ambdep@hkfsd.gov.hk", "Mr. AU YEUNG Wai kit", 2756 3895
"Fanling Ambulance Depot", "fl_ambdep@hkfsd.gov.hk", "Mr. LAI Hong Keung", 2669 2250
"Lau Fau Shan Ambulance Depot", "lfs_ambdep@hkfsd.gov.hk", "Mr. LIU Kay Yip", 2446 2892
"Sheung Shui Ambulance Depot", "ss_ambdep@hkfsd.gov.hk", "Mr. CHUNG Wai Wo", 2671 1271
"Tai Po Ambulance Depot", "tp_ambdep@hkfsd.gov.hk", "Mr. WONG Man Wai", 2658 0359
"Tin Shui Wai Ambulance Depot", "tsw_ambdep@hkfsd.gov.hk", "Mr. PUN Kong Chak", 2445 0033
"Castle Peak Bay Ambulance Depot", "cpb_ambdep@hkfsd.gov.hk", "Mr. LAM King Ki", 2451 7170
"Sham Tseng Ambulance Depot", "smt_ambdep@hkfsd.gov.hk", "Mr. LAM King Ki", 2496 4917
"Tuen Mun Ambulance Depot", "tm_ambdep@hkfsd.gov.hk", "Mr. TAM Ngo Yin, Vincent", 2463 2125
"Yuen Long Ambulance Depot", "yl_ambdep@hkfsd.gov.hk", "Mr. LAM Ho Cheung, Lawrence", 2474 6845
"Lei Muk Shue Ambulance Depot", "lms_ambdep@hkfsd.gov.hk", "Mr. HUI Sze Choi", 2487 1957
"Ma On Shan Ambulance Depot", "mos_ambdep@hkfsd.gov.hk", "Mr. SIU King Fai", 2640 3619
"Sha Tin Ambulance Depot", "st_ambdep@hkfsd.gov.hk", "Mr. YEUNG Keung Sang", 2691 2514
"Tin Sum Ambulance Depot", "ts_ambdep@hkfsd.gov.hk", "Mr. CHAN Hiu Fat", 2681 0713
"Kwai Chung Ambulance Depot", "kc_ambdep@hkfsd.gov.hk", "Mr. CHAN Wai Cheong", 2417 5750
"Penny's Bay Ambulance Depot", "pb_ambdep@hkfsd.gov.hk", "Mr. YEUNG Pui Hoi", 2983 6541
"Tsing Yi Ambulance Depot", "ty_ambdep@hkfsd.gov.hk", "Mr. YEUNG Pui Hoi", 2495 5080
"Tsuen Wan Ambulance Depot", "tw_ambdep@hkfsd.gov.hk", "Mr. CHAN Ting Kwan", 2416 2751
"Tung Chung Ambulance Depot", "tc_ambdep@hkfsd.gov.hk", "Mr. AU YEUNG Wang Kin", 2988 8282
"Hong Kong-Zhuhai-Macao Bridge Ambulance Depot", "hzmb_ambdep@hkfsd.gov.hk", "Mr. MOK Siu Chung", 2516 0205
"Station Commander Tin Sum Fire Station","ts_fstn@hkfsd.gov.hk","Ms. KWOK Wai Yin", 2694 8639
